Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Methyl benzoate,-82.42,1.4928,9610.5,87.369,10.721,0.21277,136.74,0.051567,32.209,0.030149,89.138,1.7691,-43369.0,42.036,-59.9,0.099928,-47535.0,93.407,-70.691,0.23724,90.0,250.0,0.99999,0.00022056,1.838e-5,15,ester,aromatic
Styrene,-85.127,3.7486,8617.1,199.25,11.362,0.54326,91.666,0.11739,29.76,0.13352,94.467,4.517,-37184.0,168.53,-56.017,0.45846,-37341.0,170.63,-56.449,0.46209,90.0,250.0,0.99992,0.0014379,0.00011982,15,aromatic,
3-Methylphenol,-88.136,1.8815,9816.5,108.62,11.555,0.26876,130.37,0.065672,31.593,0.03415,96.071,2.2346,-42852.0,48.375,-60.288,0.11609,-46731.0,103.41,-70.415,0.2641,90.0,250.0,0.99999,0.00035192,2.9327e-5,15,aromatic,
1-Octanol,-100.02,1.6782,10319.0,93.644,13.24,0.24113,114.33,0.056588,28.937,0.032712,110.09,2.0049,-43140.0,50.369,-65.427,0.12691,-45818.0,71.496,-72.565,0.18381,90.0,250.0,0.99999,0.00019761,2.1957e-5,12,alcohol,
"1,3-Dichlorobenzene",-77.902,2.2245,8649.1,124.56,10.26,0.31944,115.76,0.054901,32.466,0.06143,85.307,2.6559,-38736.0,74.105,-53.692,0.18898,-40933.0,101.48,-59.539,0.26331,90.0,250.0,0.99999,0.0001382,1.7275e-5,11,aromatic,
Cyclohexanone,-79.423,1.7009,8480.0,92.256,10.513,0.2456,101.15,0.057016,30.824,0.050951,87.409,2.0421,-37790.0,63.517,-55.054,0.1676,-38764.0,68.498,-57.697,0.18024,90.0,250.0,0.99999,0.00021812,2.1812e-5,13,ketone,
4-Methylphenol,-89.65,1.5746,9891.2,90.962,11.777,0.22491,130.59,0.048271,31.735,0.031048,97.921,1.87,-42706.0,43.01,-59.868,0.10425,-46680.0,87.916,-70.243,0.22484,90.0,250.0,0.99999,0.00014908,1.4908e-5,13,aromatic,
"1,2-Dichlorobenzene",-68.37,1.315,8271.3,74.933,8.8688,0.18825,124.28,0.049146,33.276,0.026824,73.739,1.5652,-39466.0,33.277,-53.395,0.080985,-41993.0,63.795,-60.045,0.1637,90.0,250.0,0.99999,0.00017266,1.4388e-5,15,aromatic,
Linalool,-89.086,2.59,9854.0,146.24,11.641,0.37135,120.11,0.075995,29.314,0.039063,96.791,3.0876,-43867.0,60.865,-65.637,0.1502,-46781.0,112.49,-73.348,0.29021,90.0,250.0,0.99998,0.00045494,4.1358e-5,14,terpene,alcohol
Aniline,-77.081,1.4182,8853.3,80.356,10.066,0.20321,121.71,0.045047,31.958,0.026397,83.695,1.6896,-40563.0,34.759,-56.82,0.085658,-43217.0,64.515,-63.826,0.1663,90.0,250.0,0.99999,0.0001217,1.217e-5,13,aromatic,amine
n-Butylbenzene,-83.781,2.4154,9195.3,135.34,11.014,0.34679,116.35,0.084027,30.927,0.04952,91.572,2.8833,-40787.0,67.637,-58.806,0.16918,-43200.0,103.34,-65.222,0.26591,90.0,250.0,0.99998,0.0005859,4.8825e-5,15,aromatic,
2-Heptanone,-85.942,2.1692,8809.6,113.53,11.374,0.31513,85.683,0.045876,27.233,0.057594,94.57,2.6202,-39312.0,83.744,-63.647,0.23211,-38903.0,85.129,-62.516,0.23525,90.0,250.0,0.99999,0.00012067,1.7239e-5,10,ketone,
2-Nonanone,-91.386,2.6283,10049.0,148.45,11.944,0.37681,120.22,0.075714,28.918,0.040471,99.306,3.133,-44490.0,64.577,-67.192,0.15978,-47492.0,115.97,-75.131,0.29908,90.0,250.0,0.99998,0.00041845,4.1845e-5,13,ketone,
Nitrobenzene,-74.061,0.67507,9080.0,40.018,9.5748,0.096027,142.41,0.024762,33.855,0.019093,79.609,0.79841,-42412.0,24.448,-56.152,0.05788,-46585.0,48.711,-66.885,0.12254,90.0,250.0,1.0,3.2762e-5,3.6402e-6,12,aromatic,
Nonanal,-95.308,2.2458,10296.0,127.4,12.506,0.32176,122.12,0.073816,29.187,0.036628,103.98,2.6753,-44509.0,58.278,-66.695,0.14287,-47849.0,105.34,-75.509,0.27024,90.0,250.0,0.99998,0.0005044,4.2033e-5,15,aldehyde,
1-Phenyl-2-propanol,-83.842,1.8773,9815.0,111.19,10.904,0.26704,142.51,0.047179,32.707,0.038963,90.662,2.2203,-43922.0,53.266,-59.759,0.12645,-48683.0,128.59,-72.004,0.32598,90.0,250.0,0.99999,0.00013907,1.3907e-5,13,aromatic,alcohol
Hexan-1-ol,-96.281,4.3438,9117.0,223.53,12.939,0.63302,78.012,0.10077,26.964,0.13635,107.58,5.2632,-38024.0,193.51,-62.374,0.54842,-36735.0,204.98,-58.762,0.57867,90.0,250.0,0.99994,0.00070651,7.8502e-5,12,alcohol,
Chlorobenzene,-78.165,2.2647,7959.1,118.09,10.439,0.32938,82.74,0.077543,29.843,0.098831,86.791,2.7386,-35288.0,117.87,-53.246,0.32908,-34658.0,120.59,-51.493,0.33545,90.0,250.0,0.99997,0.00041492,4.1492e-5,13,aromatic,
2-Nitrophenol,-78.249,1.9077,9436.1,114.25,10.154,0.27087,147.83,0.057116,34.336,0.045395,84.424,2.2521,-42916.0,57.921,-56.034,0.13548,-47798.0,143.02,-68.509,0.35995,90.0,250.0,0.99999,0.00021881,1.9892e-5,14,aromatic,
"3,5-Dimethylphenol",-89.473,2.5319,10322.0,151.16,11.655,0.3597,146.21,0.061286,32.364,0.056926,96.906,2.9907,-45180.0,80.557,-61.826,0.19015,-50627.0,186.93,-75.773,0.47123,90.0,250.0,0.99999,0.00025232,2.5232e-5,13,aromatic,
2-Chloroaniline,-79.554,1.7568,9546.6,105.55,10.334,0.24932,149.33,0.052235,34.452,0.043679,85.919,2.0729,-43076.0,55.642,-56.052,0.12988,-48173.0,135.41,-69.053,0.34007,90.0,250.0,0.99999,0.00018538,1.6853e-5,14,aromatic,amine
Phenol,-86.751,1.7324,9284.5,96.393,11.455,0.24903,113.06,0.058737,30.689,0.038267,95.245,2.0705,-40411.0,51.866,-58.726,0.13143,-42607.0,71.688,-64.59,0.18493,90.0,250.0,0.99999,0.00027024,2.4567e-5,14,aromatic,
