Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Propiophenone,-118.27,3.0303,11800.0,184.22,15.878,0.42934,154.16,0.070254,36.408,0.11918,132.02,3.5698,-50168.0,267.61,-73.154,0.66389,250.0,90.0,0.99999,0.00023094,2.566e-5,12,phenone
Butyrophenone,-108.58,3.9472,11653.0,245.92,14.39,0.55709,165.94,0.085845,36.145,0.1703,119.65,4.6319,-53435.0,410.05,-77.815,1.0009,250.0,90.0,0.99999,0.00021224,2.653e-5,11,phenone
Valerophenone,-126.39,4.3527,13172.0,278.33,16.817,0.61155,180.35,0.077712,37.085,0.15581,139.82,5.0847,-58742.0,499.28,-86.832,1.2085,250.0,90.0,0.99998,0.00020602,2.5753e-5,11,phenone
Hexanophenone,-124.58,6.5622,13543.0,430.9,16.449,0.91821,193.72,0.12732,37.169,0.27455,136.76,7.6344,-62942.0,870.98,-92.885,2.0683,250.0,90.0,0.99998,0.00023815,3.4022e-5,10,phenone
Heptanophenone,-95.773,12.008,12296.0,808.49,12.25,1.6744,205.11,0.40423,35.534,0.6081,101.85,13.922,-65244.0,1850.5,-94.041,4.2887,250.0,90.0,0.99998,7.5338e-5,1.8835e-5,7,phenone
Octanophenone,-122.99,11.539,14383.0,794.01,16.012,1.6031,217.92,0.34757,36.987,0.57993,133.13,13.329,-71239.0,1909.2,-104.66,4.3824,250.0,90.0,0.99998,0.00014797,2.9593e-5,8,phenone
