Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
2-Hexanone,-92.817,7.2072,8075.9,351.28,12.732,1.0603,55.956,0.19795,27.874,0.28507,105.86,8.8157,-32307.0,332.68,-52.259,1.0057,-28703.0,450.35,-41.838,1.3327,90.0,250.0,0.99992,0.00028613,4.7689e-5,9,ketone
2-Decanone,-90.541,1.5951,10321.0,94.58,11.816,0.22684,143.14,0.046676,32.078,0.029489,98.246,1.8861,-44918.0,42.504,-61.993,0.099928,-50139.0,109.39,-75.41,0.27698,90.0,250.0,0.99999,0.00015686,1.426e-5,14,ketone
2-Undecanone,-90.746,1.4264,10809.0,87.384,11.741,0.20179,158.93,0.032814,32.546,0.03254,97.619,1.6777,-47694.0,48.233,-64.475,0.11068,-54422.0,125.52,-81.44,0.31216,90.0,250.0,1.0,7.3444e-5,7.3444e-6,13,ketone
2-Dodecanone,-91.43,2.1107,11314.0,133.09,11.738,0.29717,173.65,0.032097,32.891,0.049018,97.598,2.4708,-50465.0,75.559,-67.039,0.16852,-58630.0,220.2,-87.272,0.53938,90.0,250.0,1.0,4.8959e-5,6.1199e-6,11,ketone
2-Tridecanone,-97.945,3.4148,12163.0,221.29,12.566,0.47873,187.43,0.048255,33.273,0.097294,104.48,3.9804,-53008.0,155.4,-69.183,0.33675,-63187.0,417.94,-94.013,1.0043,90.0,250.0,0.99999,6.4558e-5,9.2226e-6,10,ketone
4-Methyl-2-pentanone,-98.709,5.6928,8678.6,284.61,13.503,0.83353,66.908,0.090924,28.296,0.17612,112.27,6.9304,-33980.0,212.28,-54.015,0.62253,-31387.0,266.74,-46.639,0.7729,90.0,250.0,0.99996,0.00017683,2.9472e-5,9,ketone
