Compound/T [°C] ->,60.075,70,80.025,90.25,100.35,110.625,120.766666666667,130.925,141.1,151.075,161.025,170.95,181.1,191.083333333333,201.125,200.966666666667,211.2,221.333333333333,231.433333333333,241.475,251.475,261.483333333333,271.6,281.6,291.8,301.725
Hexane,-0.680305869350569,-1.00675317222912,-1.29094806076858,-1.55965679331733,-1.80246725950256,-2.05134293874222,-2.25426092520152,-2.44639645944054,-2.67974952764447,,,,,,,,,,,,,,,,,
Heptane,0.161300583143303,-0.167193264504771,-0.471547494902634,-0.758574775378272,-1.02807025141311,-1.28080813794869,-1.51511246473878,-1.73635990338339,-1.94844599263684,-2.13479262254413,-2.34974123025693,-2.50523698579952,,,,,,,,,,,,,,
Octane,0.998487203924804,0.620770589734531,0.274427206755445,-0.0547167593463691,-0.353462306659879,-0.637593958980056,-0.904559615259253,-1.1487566982545,-1.37922261796252,-1.59862858859983,-1.81154031732582,-2.0118727592001,-2.22351917558778,-2.38658342542267,,,,,,,,,,,,
Nonane,1.83151262344319,1.40669923743835,1.01600728314706,0.647056347564042,0.30733022427416,-0.00797524387331091,-0.301674390573514,-0.57941090020941,-0.83983728753013,-1.08545888012954,-1.32071959614177,-1.52182459368138,-1.75150484716973,-1.93541753848981,,,,,,,,,,,,
Decane,2.66154812297018,2.18968635704413,1.75505547150795,1.34613419268145,0.968403414440064,0.616483381385711,0.289589454293438,-0.0173869150925605,-0.30506074629406,-0.573364638756132,-0.83193432704035,-1.06381211143884,-1.29229784243308,-1.51562698435624,,,,,,,,,,,,
Undecane,3.36797478190691,2.97136969299654,2.49195427204309,2.04263847557683,1.62727112505259,1.24000414342733,0.879858856862657,0.541658705038864,0.226724062293865,-0.0673877326222424,-0.346709015286217,-0.603565550439826,-0.85598612950348,-1.08595771280806,,,,,,,,,,,,
Dodecane,,,,2.73644429174599,2.28368311209663,1.86102028933167,1.46710359015331,1.09936392826147,0.755482657707161,0.432769405846613,0.128789580633695,-0.151759268289194,-0.420740436171339,-0.677609267075604,-0.922932676917104,-0.884205783857271,-1.12525549738414,-1.35183816403189,-1.54514041683022,-1.75364892638582,-1.94123230874731,-2.12135653554896,,,,
Tridecane,,,,,2.93654237108569,2.48002353704942,2.05329327368603,1.65378110997149,1.28111164795924,0.932970532706633,0.604310668746,0.297980041859252,0.00907400318170454,-0.265879886288179,-0.525840780197442,-0.499665263548586,-0.755492784018589,-0.990875613965978,-1.20537045866613,-1.41467526533953,-1.60799182419059,-1.8118710289775,,,,
Tetradecane,,,,,,,2.63717635071772,2.20644082593952,1.80476426769375,1.43068862709873,1.07509615268911,0.74748939048034,0.434699666456837,0.142265392782571,-0.139011027071747,-0.121307794217441,-0.389165845293484,-0.63476191006959,-0.869798806318248,-1.09002454982291,-1.2957722239077,-1.49760193879612,-1.71003583699795,-1.89131104404099,,
Pentadecane,,,,,,,,2.75847222697971,2.32634745979726,1.92433531122504,1.54489717854405,1.19363387366692,0.858883615924345,0.54573497306946,0.247437298239085,0.259349586077125,-0.0258237706873555,-0.289822485480445,-0.536058180491379,-0.770605730148786,-0.992907348196339,-1.20176262569284,-1.42168794270438,-1.60203426006677,-1.80790860502607,-1.96133021012283
Hexadecane,,,,,,,,,2.84388613995226,2.41802635177129,2.01139971218115,1.6371201141809,1.28119501042503,0.945446696583241,0.630448096891895,0.634949943404312,0.338923382843096,0.0576809347176618,-0.20569247509614,-0.458231280528953,-0.691675747414543,-0.921953667398681,-1.13350679463785,-1.32626144870697,-1.53832447058531,-1.72658729011133
Heptadecane,,,,,,,,,,2.90803372622468,2.47742182487714,2.07861549983611,1.70071576123845,1.34235272184975,1.00992667943168,1.0140410624315,0.699984215812149,0.402825891189709,0.124680459791929,-0.140744599167594,-0.389014049403673,-0.631755791332155,-0.861029076319363,-1.07008903244349,-1.28903163778836,-1.49007806193362
Octadecane,,,,,,,,,,,2.94107374215212,2.51650518000118,2.11761053892069,1.74235515677385,1.38708695328475,1.38895020054274,1.05830144656798,0.741063597593303,0.447426807196607,0.166839384980024,-0.0964165059549076,-0.353234286011982,-0.5849988475226,-0.804156011595882,-1.02156580291135,-1.21539787908349
Nondecane,,,,,,,,,,,,2.95307787656235,2.53243813705753,2.13781408772483,1.7622925064571,1.76399598368703,1.41631610218557,1.08236885802974,0.769413140295316,0.47473151075562,0.197657369704149,-0.0724781326177558,-0.321526494734977,-0.552501631246861,-0.788387799045283,-1.00035501548784
Eicosane,,,,,,,,,,,,,2.94401133490723,2.5284859909666,2.13529916388613,2.13476762426032,1.77049673395977,1.41893141039933,1.08916629264212,0.780877184998389,0.48605798317199,0.205417722149528,-0.0546259371097592,-0.300139823670388,-0.539512514923899,-0.770723800906441
