Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Pentanol,-125.18,9693.4,17.511,63.266,29.765,145.6,-27722.0,-36.932,250.0,90.0,0.99979,0.00098604,0.00010956,12,alcohol
Heptanol,-126.43,11044.0,17.315,105.71,32.011,143.96,-39541.0,-58.59,250.0,90.0,0.99998,0.00048796,4.0664e-5,15,alcohol
Nonanol,-100.33,10636.0,13.309,142.09,33.749,110.66,-48244.0,-71.225,250.0,90.0,0.99989,0.0030204,0.00027458,14,alcohol
Decanol,-117.53,12182.0,15.626,157.89,34.111,129.92,-54107.0,-81.424,250.0,90.0,0.99999,0.00011077,1.1077e-5,13,alcohol
Undecanol,-113.41,12443.0,14.922,172.92,34.385,124.07,-58402.0,-87.471,250.0,90.0,1.0,8.4922e-5,9.4358e-6,12,alcohol
