Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
"2,3-Butanediol",-50.02,6670.9,6.13,73.47,26.428,50.968,-36956.0,-64.477,90.0,160.0,-0.13595,alcohol
Decane,-45.96,7279.7,5.42,115.89,29.268,45.064,-44161.0,-71.422,90.0,160.0,-0.10933,alkane
1-Octanol,-64.37,8586.8,8.02,129.05,30.173,66.682,-47179.0,-75.442,90.0,160.0,-0.18582,alcohol
Undecane,-55.89,8239.7,6.78,134.44,30.337,56.372,-48037.0,-76.02,90.0,160.0,-0.1512,alkane
"2,6-Dimethylaniline",-59.5,8397.7,7.4,150.8,34.168,61.527,-47478.0,-70.493,90.0,160.0,-0.18412,amine
Methyl decanoate,-80.29,10590.0,10.09,170.6,32.217,83.893,-57582.0,-89.142,90.0,160.0,-0.22218,FAME
Methyl laurate,-100.61,12647.0,12.81,198.16,33.61,106.51,-66472.0,-102.16,90.0,160.0,-0.25787,FAME
