Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
Dodecane,-44.28,-63.72,197.14,alkane
1-Dodecanol,-61.45,-90.93,169.25,alcohol
2-Dodecanone,-58.56,-86.65,169.20,ketone
